GOVERNMENT HOSPITALS 
7.920429,124.191007	BALINDONG MUNICIPAL HOSPITAL
8.3661604,126.3335876	HINATUAN DISTRICT HOSPITAL
8.62910,126.08810	LIANGA DISTRICT HOSPITAL
8.03670,126.41240	LINGIG COMMUNITY HOSPITAL
9.2657299,125.9620132	MADRID DISTRICT HOSPITAL
8.8013496,126.2936707	MARIHATAG DISTRICT HOSPITAL
8.93096,126.04097	SAN MIGUEL COMMUNITY HOSPITAL


PRIVATE HOSPITALS

6.64684,122.10170	DR. JOSE MA. TORRES MEMORIAL FOUNDATION HOSPITAL,INC.
7.87711,124.32702	TAMPARAN MEDICAL FOUNDATION, INC. HOSPITAL
7.99971,124.29225	SMD GENERAL HOSPITAL
8.00150,124.29260	MAPANDI MEMORIAL HOSPITAL
8.00805,124.28812	MINDALANO MEDICAL SPECIALIST'S HOSPITAL
6.75270,124.80030	MANANGAN CLINIC AND HOSPITAL
6.75326,124.80168	MAGRIÑA CLINIC AND HOSPITAL
6.0511799,121.0049133	SULU MEDICAL SPECIALISTS HOSPITAL
17.595941,120.621045	BANGUED CHRISTIAN HOSPITAL
17.596413,120.617932	DR. PETRONILO V. SEARES SR. MEMORIAL HOSPITAL
17.599271,120.621517	VALERA MEDICAL HOSPITAL
17.604424,120.620692	ABRA CHILDREN'S CLINIC
17.627657,120.71941	SAINT THERESA WELLNESS CENTER
16.266224,120.639361	SANTO NIÑO HOSPITAL OF PHILEX MINING CORPORATION
16.401941,120.597576	BAGUIO MEDICAL CENTER
16.415358,120.598438	NOTRE DAME DE CHARTRES HOSPITAL
16.417103,120.597158	ST. LOUIS UNIVERSITY HOSPITAL OF THE SACRED HEART
16.422384,120.598978	BAGUIO FILIPINO CHINESE GENERAL HOSPITAL
16.426542,120.594647	PINES CITY DOCTOR'S HOSPITAL
16.808073,120.832187	LUTHERAN MEDICAL MISSION AND REHABILITATION FOUNDATION INC.
16.877768,120.778123	LEPANTO CONSOLIDATED MINING COMPANY HOSPITAL
16.9077127,121.0632527	GOOD NEWS CLINIC
17.4138763,121.4461702	HOLY TRINITY MEDICAL CLINIC
17.416342,121.4423786	ALMORA GENERAL HOSPITAL
17.4685573,121.463441	ST. PETER CLAVER HOSPITAL
17.0849224,120.9020519	ST. THEODORE'S HOSPITAL
14.555291,120.991393	MIRACULOUS MEDAL EMERGENCY MEDICAL CLINIC
14.58182,120.98283	MANILA DOCTORS HOSPITAL
14.582394,120.985338	MEDICAL CENTER MANILA
14.584305,121.017437	TRINITY WOMAN CHILD CENTER "THE BIRTHPLACE"
14.587459,120.977633	SEAMEN'S HOSPITAL
14.594898,121.022547	OUR LADY OF LOURDES HOSPITAL INC.
14.5998014,120.9996763	DE OCAMPO MEMORIAL MEDICAL CENTER
14.600237,121.016579	DR. MIRANDO C. UNCIANO SR. MEDICAL CENTER
14.603144,120.990085	MARY CHILES GENERAL HOSPITAL, INC.
14.608177,120.992337	PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.
14.60908,120.96605	MARY JOHNSTON HOSPITAL
14.609384,120.978594	METROPOLITAN MEDICAL CENTER
14.610995,120.990039	UNIVERSITY OF SANTO TOMAS HOSPITAL
14.613357,120.988356	PERPETUAL HELP HOSPITAL
14.613822,120.989207	HOSPITAL OF THE INFANT JESUS
14.614271,120.986871	THE FAMILY CLINIC, INC.
14.615699,120.988963	ST. JUDE HOSPITAL AND MEDICAL CENTER
14.626005,120.987801	CHINESE GENERAL HOSPITAL AND MEDICAL CENTER
14.632789,120.978089	AMISOLA MATERNITY HOSPITAL
14.370972,121.049388	BEATO-CAUILAN HOSPITAL
14.388538,121.0499302	BABARAN-ECHAVEZ MEDICAL & PSYCHIATRIC CLINIC
14.391123,121.0443	ALABANG MEDICAL CENTER
14.391123,121.0443	ALABANG MEDICAL CLINIC - MUNTINLUPA BRANCH
14.39501,121.04521	MEDICAL CENTER MUNTINLUPA, INC
14.413442,121.04368	ASIAN HOSPITAL AND MEDICAL CENTER
14.4189827,120.9978618	DR. E. ZARATE GENERAL HOSPITAL
14.419248,121.050036	ALABANG MEDICAL CLINIC
14.419254,121.04706	SAN ROQUE MEDICAL CLINIC
14.422878,120.997314	CABINTE MATERNITY AND CHILDRENS HOSPITAL
14.429641,121.003283	LAS PIÑAS CITY MEDICAL CENTER
14.4309293,121.014761	ALABANG MEDICAL CLINIC - LAS PINAS BRANCH
14.443248,120.9963584	CALLEJO MEDICAL CLINIC
14.446745,120.994173	E. ZARATE HOSPITAL
14.447958,120.985825	UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER
14.455982,120.99437	LAS PIÑAS DOCTORS HOSPITAL, INC.
14.458505,121.03354	MEDICAL CENTER PARAÑAQUE, INC.
14.458862,120.9700084	CHRIST THE KING GENERAL HOSPITAL
14.462979,120.968979	PAMPLONA MEDICAL CLINIC
14.46454,121.01962	UNIHEALTH PARAÑAQUE HOSPITAL AND MEDICAL CENTER, INC.
14.466954,121.015467	STO. NIÑO DE CEBU MATERNITY HOSPITAL
14.4687612,120.9805119	A. ZARATE GENERAL HOSPITAL
14.4748994,121.0447923	SOUTH SUPERHIGHWAY MEDICAL CENTER
14.4786937,121.0612142	TAGUIG DOCTORS HOSPITAL
14.479459,120.996919	OLIVAREZ GENERAL HOSPITAL
14.485856,121.028351	UHBI-PARAÑAQUE DOCTOR'S HOSPITAL
14.488546,120.983628	OUR LADY OF PEACE HOSPITAL
14.4889102,121.0578078	DR. SABILI HEALTH SERVICES CORPORATION
14.524137,120.9966105	D.T. PROTACIO HOSPITAL
14.529275,121.07061	CRUZ-RABE MATERNITY AND GENERAL HOSPITAL
14.529998,120.995841	STA. RITA DE BACLARAN HOSPITAL
14.5385159,120.9932578	SAN JUAN DE DIOS EDUCATIONAL FOUNDATION INC.
14.55481,121.047814	ST. LUKE'S MEDICAL CENTER-GLOBAL CITY
14.5557444,120.9951943	MANILA ADVENTIST MEDICAL CENTER AND COLLEGES, INC.
14.5592829,121.0149125	MAKATI MEDICAL CENTER
14.5601526,121.0305405	M-TECH MEDICAL HOSPITAL
14.5628433,121.0012258	ST. CLARE'S MEDICAL CENTER
14.5704379,121.0147262	MARIA LOURDES MATERNITY HOSPITAL
14.5600617,121.0828823	SABATER GENERAL HOSPITAL
14.56487,121.077334	JAVILLONAR CLINIC & HOSPITAL
14.566845,121.070636	MARY IMMACULATE HOSPITAL
14.573979,121.044082	UNCIANO GENERAL HOSPITAL
14.575426,121.032453	DIVINE MERCY THE HOME THAT CARES INC
14.5766214,121.0854828	MCPC ST THERESE OF LISIEUX DOCTORS HOSPITAL
14.577875,121.031869	MOTHER TERESAS HOME THAT CARES INC
14.580721,121.048415	DHC HOMECARE CLINIC, INC.
14.580721,121.048415	THE MASTER'S TOUCH PSYCHIATRIC CUSTODIAL CARE FACILITY
14.582168,121.083906	METRO PSYCH FACILITY
14.58323,121.085195	MOTHER REGINA HOSPITAL
14.583571,121.028207	DIVINE MERCY THE HOME THAT CARES, INC-BONI
14.583571,121.028207	DR. VICTOR R. POTENCIANO MEDICAL CENTER
14.589772,121.069137	THE MEDICAL CITY
14.589865,121.097504	MISSION HOSPITAL
14.589917,121.064771	MERALCO CORPORATE WELLNESS CENTER
14.590122,121.084748	ALFONSO SPECIALISTS HOSPITAL
14.591965,121.095382	HOLYLIFE HOSPITAL
14.593779,121.101507	PASIG MEDICAL & MATERNITY HOSPITAL FOUNDATION INC.
14.5973861,121.0459759	CARDINAL SANTOS MEDICAL CENTER
14.5990149,121.0316106	ST. MARTIN DE PORRES CHARITY HOSPITAL
14.603828,121.102881	ST. CHRISTIANA MATERNITY HOSPITAL
14.607122,121.020636	UNIVERSITY OF THE EAST RAMON MAGSAYSAY MEMORIAL MEDICAL CENTER INC.
14.612073,121.091797	ST. CAMILLUS MEDICAL CENTER
14.615281,121.0335231	SUNSHINE.COM.INC
14.616937,121.012711	QUEZON INSTITUTE
14.616949,121.023192	SUNRISE HILL THERAPEUTIC COMMUNITY HOSPITAL
14.617326,121.001787	UNITED DOCTORS MEDICAL CENTER
14.619942,121.017427	DELOS SANTOS - STI MEDICAL CENTER
14.620006,121.096179	SALVE REGINA GENERAL HOSPITAL INC.
14.620736,121.009351	DR. FE DEL MUNDO CENTER FOUNDATIONS PHILS., INC.
14.621969,121.066176	VILLAROSA HOSPITAL
14.622636,121.023821	ST. LUKES MEDICAL CENTER
14.623225,121.042402	THE CLINIC OF THE HOLY SPIRIT INC
14.623866,121.043689	MT. BANAWE GENERAL HOSPITAL
14.6244712,121.1028448	ST. ANTHONY MEDICAL CENTER OF MARIKINA, INC.
14.624658,121.002304	STA. TERESITA GENERAL HOSPITAL
14.626913,121.063494	WORLD CITI MEDICAL CENTER
14.627458,121.052508	GARMA HOSPITAL
14.633666,121.057424	FULL HOUSE CUSTODIAL CARE CENTER
14.6338167,121.0863512	STA. MONICA GENERAL HOSPITAL
14.634268,121.022805	CAPITOL MEDICAL CENTER, INC.
14.634845,121.1039706	MARIKINA VALLEY MEDICAL CENTER
14.635394,121.061682	ESTRELLAS NEX CARE, CO.
14.637055,121.099445	VILLON-TANSINSIN HOSPITAL, INC.
14.6374953,121.0993029	VT MATERNITY HOSPITAL
14.638669,121.016969	EXCELLENT COMMUNITY CARE CENTER
14.6393962,121.1100733	SDS MEDICAL CENTER, INC.
14.641087,121.03188	PROVIDENCE HOSPITAL, INC.
14.6420783,121.0536262	UROLOGY CENTER OF THE PHILIPPINES
14.6421681,121.0946954	ST. VICTORIA HOSPITAL
14.6440545,121.1173152	SAN RAMON HOSPITAL
14.646076,121.112916	JESUS IMMACULATE CONCEPCION HOSPITAL
14.647153,121.017266	Q.C. ST. AGNES GENERAL HOSPITAL, INC.
14.6491797,121.0984902	P. GONZALES MEMORIAL HOSPITAL, INC.
14.6509184,121.1076325	ST. VINCENT HOSPITAL
14.6511571,121.1109424	GARCIA GENERAL HOSPITAL
14.6593987,121.0235667	DR. MONTANO G. RAMOS HOSPITAL
14.6599903,121.0250151	JP SIOSON GENERAL HOSPITAL AND COLLEGES, INC
14.664054,121.06664	F.Y. MANALO MEDICAL FOUNDATION INC.- NEW ERA GENERAL HOSPITAL
14.666983,121.009104	PASCUAL GENERAL HOSPITAL
14.6673,121.059969	OVERSEAS CONTRACT WORKERS GENERAL HOSPITAL
14.6676126,121.0726552	GEN MIGUEL M. MALVAR MEDICAL FOUNDATION
14.6686296,121.0337219	METRO NORTH MEDICAL CENTER AND HOSPITAL INC.
14.670318,121.032194	DR. MONTANO G. RAMOS GENERAL HOSPITAL
14.670349,121.032184	DR. JESUS C. DELGADO MEMORIAL HOSPITAL
14.672442,121.018014	CASAUL GENERAL HOSPITAL INC.
14.6828189,121.0209757	VIAN FAMILY HOSPITAL II
14.685346,121.023667	VIAN FAMILY HOSPITAL
14.688463,121.02999	PACIFIC GLOBAL MEDICAL CENTER
14.68854,121.025973	FAIRVIEW POLYMEDIC HOSPITAL
14.693706,121.030873	ANN FRANCIS MOTHER AND CHILD HOSPITAL
14.698692,121.067214	FEU- DR. NICANOR REYES MEDICAL FOUNDATION
14.700309,121.034928	BERNARDINO GENERAL HOSPITAL CORPORATION I
14.702827,121.0655	NEWMAN HOMECARE AND REHAB CENTER INC
14.7056141,121.0719913	FAIRVIEW GENERAL HOSPITAL
14.708343,121.039662	VALDEZ PADRON HOSPITAL
14.708377,121.0399885	SAINT LOUIS MEDICAL CLINIC AND HOSPITAL
14.709404,121.038925	NOVALICHES GENERAL HOSPITAL
14.7094848,121.0388875	SANTA LUCIA GENERAL HOSPITAL CORPORATION
14.7192236,121.0389948	WORD OF HOPE GENERAL HOSPITAL FOUNDATION, INC.
14.7219591,121.0359371	DIVINE HEART MEDICAL SERVICE AND DEVELOPMENT COOPERATIVE (DIHMESCO HOSPITAL)
14.7233301,121.0441232	CRUZ-DALIDA MATERNITY HOSPITAL
14.7238094,121.0396888	QUEENSBERRY HOSPITAL
14.731496,121.060833	COMMONWEALTH HOSPITAL AND MEDICAL CENTER
14.735276,121.068603	NEOPOLITAN GENERAL HOSPITAL
14.73561,121.06929	SAN LORENZO GENERAL HOSPITAL
14.735668,121.069161	SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.
14.73807,121.047492	NODADO GENERAL HOSPITAL
14.740114,121.046633	BERNARDINO GENERAL HOSPITAL II
14.6385918,120.9759441	MARTINEZ MEMORIAL HOSPITAL
14.6489514,120.9813944	OUR LADY OF GRACE HOSPITAL
14.6579663,120.9871852	MCU-FDT MEDICAL FOUNDATION HOSPITAL
14.659759,120.991986	JOHN PAUL HOSPITAL
14.659894,120.959057	FRANCO CLINIC
14.672173,120.9823143	CALALANG GENERAL HOSPITAL
14.675209,120.98428	SANTISSIMO ROSARIO GENERAL HOSPITAL
14.6765969,121.0057703	BAESA ADVENT POLYCLINIC & GENERAL HOSPITAL
14.678008,120.980528	FATIMA UNIVERSITY MEDICAL CENTER, CORP.
14.686695,120.996098	KC CALDERON HOSPITAL
14.690847,120.962918	ST. JOHN'S HOSPITAL
14.6959651,121.0122344	VIAN FAMILY HOSPITAL
14.709275,120.952225	PASOLO MATERNITY AND MEDICAL CLINIC, INC.
14.709603,120.948775	CARLOS CLINIC
14.718765,121.005158	ACEBEDO GENERAL HOSPITAL
14.71981,121.010873	LADY OF LOURDES HOSPITAL OF CAYBIGA, INC.
14.7552331,121.0443807	MARKVIM HOSPITAL
14.7632373,121.0441339	NODADO GENERAL HOSPITAL
14.766019,121.0846715	NORTH CALOOCAN DOCTORS HOSPITAL
14.7701143,121.0782704	BERMUDEZ POLYMEDIC HOSPITAL
9.9828997,122.8199997	SOUTHERN NEGROS DOCTORS' HOSPITAL
10.3203001,123.0188217	E.R. ELUMBA CLINIC
10.49086,123.4214401	SAN CARLOS DOCTORS' HOSPITAL
10.6479597,122.9494781	BACOLOD ADVENTIST MEDICAL CENTER
10.6780701,122.960289	THE DOCTORS HOSPITAL, INC.
10.6829996,122.9578018	DR. PABLO O. TORRE SR. MEMORIAL HOSPITAL
10.6864796,122.9705505	BACOLOD OUR LADY OF MERCY SPECIALTY HOSPITAL
10.8966799,123.4143372	LOPEZ DISTRICT FARMERS HOSPITAL, INCORPORATED
10.8983202,123.074173	IMACULADA CONCEPCION PRIMARY HOSPITAL
9.3062801,123.3072586	HOLY CHILD HOSPITAL
9.3162804,123.3041611	SILLIMAN UNIVERSITY MEDICAL CENTER
18.01520,120.67427	SANTA TERESITA HOSPITAL, INC.
18.05030,120.56560	GAOAT GENERAL HOSPITAL
18.17384,120.59262	THE BLACK NAZARENE SPECIALTY HOSPITAL
18.17485,120.59019	GERTES CLINIC AND HOSPITAL
18.191679,120.610155	KARMELLI CLINIC AND HOSPITAL
18.19655,120.59212	RANADA GENERAL HOSPITAL
18.1969833,120.59105	DR. ANTONIO A. RANADA CLINIC AND LYING-IN HOSPITAL
18.2002833,120.5985167	LAOAG PEDIATRIC HOSPITAL
18.2023,120.5924333	OUR LADY OF FATIMA MEDICAL CLINIC AND HOSPITAL
18.25687,120.61258	DR. BONIFACIA V. ALBANO MEMORIAL HOSPITAL
16.93159,120.44746	PACENCIA GONZALES MEMORIAL EMERGENCY HOSPITAL
17.19112,120.44958	RESONABLE HOSPITAL
17.19278,120.44675	ST. MARTIN DE PORRES HOSPITAL
17.21132,120.45666	CANDON GENERAL HOSPITAL
17.365088,120.477718	JUDGE CELESTINO GUERRERO MEMORIAL HOSPITAL
17.36607,120.48173	REYES ULEP CLINIC AND HOSPITAL
17.37233,120.48135	STO. NIÑO HOSPITAL
17.55286,120.3651	RABARA CLINIC AND HOSPITAL
17.5535,120.37973	ILOCOS SUR COOPERATIVE MEDICAL MISSION GROUP AND HOSPITAL
17.55709,120.37996	ACAS CLINIC AND HOSPITAL
17.56673,120.38855	VIGAN POLYCLINIC, INC.
17.56935,120.3880833	FIGUERRES CLINIC AND HOSPITAL
17.56943,120.38598	LAHOZ CLINIC AND HOSPITAL
17.57919,120.37895	ST. JAMES HOSPITAL VQR MEDICAL FOUNDATION
17.58075,120.38673	METRO VIGAN COOPERATIVE HOSPITAL
17.58855,120.365	RECEL MEDICAL CLINIC AND HOSPITAL
17.6424833,120.4116833	TOLENTINO CLINIC AND HOSPITAL
17.79177,120.45449	PIRA HOSPITAL
17.79333,120.45449	SUERO GENERAL HOSPITAL
17.86618,120.45799	CORPUZ CLINIC AND HOSPITAL
17.8822833,120.4652167	STO. CRISTO MILAGROSO HOSPITAL
16.32412,120.37041	AGOO MEDICAL CLINIC
16.34393,120.36056	AGOO FAMILY HOSPITAL
16.61410,120.31750	BETHANY HOSPITAL, INC.
16.61495,120.31567	LA UNION MEDICAL DIAGNOSTIC CENTER AND HOSPITAL
16.63151,120.31764	LORMA MEDICAL CENTER
16.63776,120.31179	CICOSAT HOSPITAL
16.8990116,120.4230362	ST. CATHERINE HOSPITAL
15.7870667,120.2908333	LOPEZ FAMILY CLINIC AND HOSPITAL
15.7879,120.2933667	VELASQUEZ MEDICAL CLINIC AND HOSPITAL
15.79578,120.28725	MBP - BLESSED TRINITY GENERAL HOSPITAL
15.80607,120.45407	SENIOR SANTO NIÑO HOSPITAL, INC.
15.88169,120.59957	BANEZ HOSPITAL
15.88316,120.59874	DEL CARMEN MEDICAL CLINIC AND HOSPITAL
15.88352,120.59857	DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC.
15.8878,120.2390167	AMANCIO-FERNANDEZ LYING IN AND CLINIC
15.89786,120.67432	ORDOÑEZ ADULT AND CHILDREN'S CLINIC
15.90071,120.58800	VILLASIS POLYMEDIC HOSPITAL AND TRAUMA CENTER, INC.
15.904586,120.585858	ORDOÑEZ MEDICAL HOSPITAL
15.910885,120.416531	ESPINOZA-ROSARIO HOSPITAL
15.91907,120.35635	BLESSED FAMILY DOCTORS GENERAL HOSPITAL
15.92072,120.34134	VIRGEN MILAGROSA MEDICAL CENTER
15.921761,120.413949	PERPETUAL HELP HOSPITAL
15.93760,120.34656	ELGUIRA GENERAL HOSPITAL
15.93996,120.34544	PANGASINAN DOCTORS HOSPITAL
15.957111,120.575331	FRANCISCO GENERAL HOSPITAL
15.9757333,120.5717333	HOLY CHILD MATERNITY AND CHILDREN'S CLINIC
15.97772,120.56391	DIVINE MERCY FOUNDATION OF URDANETA HOSPITAL
15.980468,120.571087	URDANETA SACRED HEART HOSPITAL
16.01467,120.23235	JESUS NAZARENE GENERAL HOSPITAL
16.0212167,120.2287667	SANTO NIÑO DE CASIPIT GENERAL HOSPITAL
16.02147,120.23421	URDUJA GENERAL HOSPITAL
16.0249406,120.1467124	ROSARIO-TRIÑO MEDICAL CLINIC AND DIAGNOSTIC CENTER
16.02799,120.74341	TAYUG FAMILY HOSPITAL
16.02987,120.32912	DAGUPAN ORTHOPEDIC CENTER
16.02993,120.26921	RAMIREZ BAUTISTA MEMORIAL HOSPITAL
16.03074,120.32943	SPECIALIST GROUP HOSPITAL AND TRAUMA CENTER
16.03364,120.33222	LUZON MEDICAL CENTER INC.
16.03710,120.34689	DAGUPAN DOCTORS-VILLAFLOR MEMORIAL HOSPITAL, INC.
16.03896,120.33466	CUISON HOSPITAL INCORPORATED
16.04091,120.34258	PANGASINAN CENTER FOR FAMILY MEDICINE HOSPITAL
16.04113,120.34046	NAZARETH GENERAL HOSPITAL, INC.
16.041436,120.335799	JVF CLINIC AND LYING-IN MEMORIAL HOSPITAL
16.04613,120.35256	MEDICAL CENTRUM DAGUPAN, INC.
16.04644,120.34041	UNIVERSITY OF PANGASINAN MEDICAL CENTER
16.049015,120.59134	SABALLA-ROSARIO HOSPITAL
16.049107,120.589358	ST. THOMAS AQUINAS MEDICAL CLINIC
16.06943,120.33471	DECENA GENERAL HOSPITAL
16.13078,119.97065	ALAMINOS DOCTORS HOSPITAL, INC.
16.15359,119.98271	C AND H MEDICAL AND SURGICAL CLINIC, INC.
16.193296,120.515084	NORTHERN LUZON ADVENTIST HOSPITAL
16.3916667,119.8929	RILLERA MEDICAL HOSPITAL
17.61042,121.72638	CLINICA DE LEON, INC.
17.61376,121.70763	SAINT PAUL HOSPITAL
17.61858,121.72901	HOLY INFANT HOSPITAL
17.64961,121.75611	DR. RONALD P. GUZMAN MEDICAL CENTER
18.26364,121.68710	PUYAOAN GENERAL HOSPITAL
18.34418,121.64513	LYCEUM OF APARRI HOSPITAL
18.35656,121.63498	CHARLES W.SELBY MEMORIAL HOSPITAL, INC.
18.40674,121.51772	BALLESTEROS MATERNITY AND LYING-IN CLINIC
18.48704,122.15559	FR. GERRY FILIPPETTO MEMORIAL FOUNDATION HOSPITAL
18.56113,121.2306	ASANIAS HOSPITAL
16.53501,121.2239546	PIEDAD MEDICAL CLINIC
16.67095,121.46115	JAVONILLO HOSPITAL, INC.
16.685583,121.547315	CORADO MEDICAL CLINIC AND HOSPITAL
16.68718,121.54623	RENMAR SPECIALISTS HOSPITAL
16.69017,121.55094	FLORES MEMORIAL MEDICAL CENTER HOSPITAL
16.692758,121.550405	CALLANG GENERAL HOSPITAL AND MEDICAL CENTER, INC.
16.6949,121.55404	DE VERA'S MEDICAL CENTER
16.701305,121.564488	ADVENTIST HOSPITAL SANTIAGO CITY, INC.
16.712426,121.620372	BAGTILAY ADULT SPECIALTY CLINIC AND HOSPITAL
16.77322,121.69871	MANANGO HOSPITAL
16.77645,121.6983	LUCAS-PAGUILA MEDICAL CLINIC
16.777282,121.696589	TOMAS-CACAL MEDICAL CLINIC AND HOSPITAL
16.784146,121.546634	DEMANO'S MEDICAL AND PEDIATRIC CLINIC
16.869841,121.596859	RICAFORT CLINIC
16.877672,121.604582	PADRON-TIBIO MEDICAL CLINIC
16.877672,121.604582	NEW SAMARITAN MEDICAL AND PEDIATRIC CLINIC
16.878035,121.598183	BBCSS PEDIATRIC, MEDICAL AND SURGICAL CLINIC
16.9185,121.76582	CAUAYAN FAMILY HOSPITAL
16.93419,121.76889	THE ROSS MAURICIO MEMORIAL HOSPITAL
16.93582,121.77048	CAUAYAN MEDICAL SPECIALIST HOSPITAL
16.93585,121.7627	DR. ESTER GARCIA GENERAL HOSPITAL
16.937631,121.773497	BUCAG'S GENERAL HOSPITAL
16.93843,121.76952	GOD'S WILL MEDICAL HOSPITAL
16.94864,121.77199	ISABELA UNITED DOCTORS MEDICAL CENTER
16.95335,121.67075	DR. ATANACIO T. DAYRIT JR. MEDICAL HOSPITAL
16.954562,121.66981	CABATUAN FAMILY CLINIC AND HOSPITAL
17.082539,121.966862	DR. VICTOR S. VILLAROMAN MEMORIAL HOSPITAL
17.11341,121.63126	DAYOS-PASCUAL HOSPITAL
17.11785,121.8635	ISABELA DOCTORS GENERAL HOSPITAL
17.11977,121.62206	SOLLER GENERAL HOSPITAL
17.11987,121.61889	DR. NOEL C. DE LEON MATERNITY CLINIC
17.12005,121.61543	YUMENA SURGICAL AND MEDICAL CLINIC
17.12049,121.62109	DUMLAO PHARMACY AND HOSPITAL
17.264113,121.792598	GAMBALAN HOSPITAL
17.300109,121.792605	DR. JANET TUMOLVA-LUSUNG MEDICAL CLINIC AND LYING-IN
16.3040830,121.0417690	INDIGENOUS PEOPLES HOSPITAL
16.3903670,121.1080360	SAQUING'S CLINIC
16.5165987,121.1782497	MEDICAL MISSION GROUP HOSPITAL AND HEALTH SERVICES COOPERATIVE
16.5350100,121.2239546	PLT MEDICAL CENTER
15.7535580,121.5440180	PREMIERE GENERAL HOSPITAL OF NUEVA ECIJA, INC. BALER- AURORA
14.4336412,120.4861379	MAHESECO MULTIPURPOSE COOPERATIVE
14.617762,120.583448	ORION SAINT MICHAEL HOSPITAL
14.6775,120.535558	BATAAN WOMEN'S HOSPITAL, INC.
14.68137,120.54163	BATAAN SAINT JOSEPH HOSPITAL
14.682809,120.542676	BATAAN DOCTOR'S HOSPITAL AND MEDICAL CENTER
14.685181,120.538194	ISAAC AND CATALINA MEDICAL CENTER
14.864081,120.469838	SANTO ROSARIO MATERNITY AND MEDICAL CLINIC
14.868631,120.460868	BATAAN PENINSULA MEDICAL CENTER
14.726918,120.959996	MEYCAUAYAN DOCTORS HOSPITAL INC.
14.727478,120.981145	EVANGELISTA HOSPITAL
14.7340488,120.9572625	ST. FRANCIS OF ASSISSI MATERNITY AND GENERAL HOSPITAL
14.735232,120.961535	PADRIGUILAN'S MATERNITY AND MEDICAL CLINIC
14.737188,120.958013	THE LORD'S HOSPITAL
14.73807,121.047492	NODADO GENERAL HOSPITAL
14.749078,120.971449	STA. CLARA DE MONTEFALCO MEDICAL CENTER
14.751368,120.955497	NAZARENUS COLLEGE FOUNDATION HOSPITAL
14.761188,120.947682	MARILAO ST. MICHAEL FAMILY HOSPITAL, INC.
14.764643,120.9888321	MARYMOUNT HOSPITAL, INC.
14.7839,120.9330341	MT. CARMEL HOSPITAL MEDICAL CENTER OF BULACAN CORPORATION
14.794452,120.881243	E.S. GARCIA HOSPITAL
14.795507,120.928795	ST. PAUL HOSPITAL BULACAN, INC.
14.79644,120.92485	DR. YANGA'S HOSPITAL, INC.
14.80302,121.03487	KAIROS MATERNITY AND GENERAL HOSPITAL
14.808754,120.945353	BULACAN MEDICAL MISSION GROUP PHARMACY AND HOSPITAL - TURO BRANCH
14.809275,120.947684	MATEO'S DIAGNOSTIC CLINIC AND GENERAL HOSPITAL, INC.
14.81099,121.07053	GRACE GENERAL HOSPITAL
14.811036,120.842335	ROMEL CRUZ HOSPITAL
14.814111,120.949076	ED & TITA CRUZ MATERNITY AND SURGICAL HOSPITAL
14.818221,120.906241	UNITED BALAGTAS DOCTORS HOSPITAL CORPORATION
14.821068,120.962943	MENDOZA GENERAL HOSPITAL
14.822311,120.967865	ST. MARY'S MEDICAL SERVICES, INC.
14.822774,120.962305	SANTIAGO PEDIATRIC HOSPITAL
14.8253544,120.9056541	COMMUNITY MEDICAL CLINIC OF BALAGTAS, CO.
14.828066,120.877867	JESUS OF NAZARETH GENERAL HOSPITAL
14.828862,120.904687	GRACE MEMORIAL HOSPITAL FOUNDATION INC.
14.831877,120.759407	MATEO-MABBORANG GENERAL HOSPITAL
14.835561,120.904586	GUBATAN CLINIC
14.837341,120.789445	SAN PASCUAL BAYLON MATERNITY AND GENERAL HOSPITAL
14.837771,120.813482	MARY IMMACULATE MATERNITY HOSPITAL
14.839275,120.866221	MAGPOC MATERNITY HOSPITAL, INC.
14.839379,120.752189	DIVINE WORD HOSPITAL
14.840854,120.861384	BULACAN POLYMEDIC HOSPITAL, INC
14.840906,120.811715	SANTOS GENERAL HOSPITAL OF MALOLOS, INC.
14.845213,120.81326	OFELIA L. MENDOZA MATERNITY AND GENERAL HOSPITAL
14.845633,120.816991	MALOLOS SAN VICENTE HOSPITAL
14.846361,120.834505	GRAMAN MEDICAL AND MATERNITY HOSPITAL, INC.
14.8500712,120.8227605	MALOLOS EENT HOSPITAL
14.850188,120.822136	MALOLOS MATERNITY HOSPITAL AND EYE CENTER
14.852192,120.81756	SACRED HEART HOSPITAL OF MALOLOS, INC.
14.853299,121.062202	ROQUERO HOSPITAL
14.865282,120.815843	OFELIA L. MENDOZA MATERNITY AND GENERAL HOSPITAL
14.870915,120.821507	SANTISSIMA TRINIDAD HOSPITAL
14.874358,120.862467	MELVEREY MATERNITY BAND GENERAL HOSPITAL
14.880097,120.864434	PLARIDEL COUNTY HOSPITAL
14.880203,120.864238	DR. PERALTA HOSPITAL
14.8857817,120.8446875	MARY THE QUEEN MATERNITY AND GENERAL HOSPITAL FOUNDATION INC.
14.886661,120.864839	LA CONSOLACION UNIVERSITY GENERAL HOSPITAL
14.886955,120.866637	SAN DIEGO GENERAL HOSPITAL
14.888672,120.866612	MARCELO-PADILLA CHILDREN'S MEDICAL HOSPITAL
14.894077,120.866054	OUR LADY OF MERCY GENERAL HOSPITAL, CO.
